ppo: GATE upd 600 score=0.034 win[norm/hard/imp]=0.00/0.00/0.00 poss_hard=0.34 pass_hard=1.00
ppo: upd 605 rew/step=-0.0002 pi=-0.010 v=0.001 ent=1.176 t=684s
ppo: upd 610 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.141 t=693s
ppo: upd 615 rew/step=-0.0003 pi=-0.004 v=0.002 ent=0.978 t=702s
ppo: upd 620 rew/step=0.0007 pi=-0.008 v=0.005 ent=1.173 t=711s
ppo: upd 625 rew/step=-0.0002 pi=-0.008 v=0.002 ent=1.415 t=719s
ppo: upd 630 rew/step=-0.0002 pi=-0.008 v=0.001 ent=1.356 t=728s
ppo: upd 635 rew/step=-0.0002 pi=-0.008 v=0.002 ent=1.196 t=736s
ppo: upd 640 rew/step=0.0016 pi=-0.006 v=0.008 ent=1.238 t=745s
ppo: upd 645 rew/step=-0.0002 pi=-0.007 v=0.002 ent=1.246 t=752s
ppo: upd 650 rew/step=-0.0003 pi=-0.006 v=0.002 ent=1.218 t=761s
ppo: upd 655 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.264 t=769s
ppo: upd 660 rew/step=-0.0002 pi=-0.008 v=0.001 ent=1.281 t=776s
ppo: upd 665 rew/step=-0.0002 pi=-0.006 v=0.001 ent=1.395 t=785s
ppo: upd 670 rew/step=-0.0003 pi=-0.008 v=0.001 ent=1.193 t=794s
ppo: upd 675 rew/step=-0.0003 pi=-0.011 v=0.002 ent=1.260 t=802s
ppo: upd 680 rew/step=-0.0002 pi=-0.009 v=0.002 ent=0.982 t=811s
ppo: upd 685 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.188 t=819s
ppo: upd 690 rew/step=-0.0011 pi=-0.010 v=0.004 ent=1.325 t=827s
ppo: upd 695 rew/step=-0.0002 pi=-0.009 v=0.001 ent=1.238 t=836s
ppo: upd 700 rew/step=-0.0003 pi=-0.006 v=0.001 ent=1.358 t=845s
ppo: upd 705 rew/step=-0.0011 pi=-0.006 v=0.004 ent=1.287 t=855s
ppo: upd 710 rew/step=-0.0002 pi=-0.010 v=0.001 ent=1.213 t=863s
ppo: upd 715 rew/step=-0.0003 pi=-0.008 v=0.001 ent=1.280 t=872s
ppo: upd 720 rew/step=-0.0002 pi=-0.005 v=0.001 ent=1.363 t=881s
ppo: upd 725 rew/step=-0.0011 pi=-0.008 v=0.005 ent=1.280 t=889s
ppo: upd 730 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.413 t=896s
ppo: upd 735 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.222 t=904s
ppo: upd 740 rew/step=-0.0011 pi=-0.007 v=0.004 ent=1.294 t=913s
ppo: upd 745 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.158 t=923s
ppo: upd 750 rew/step=-0.0002 pi=-0.007 v=0.002 ent=1.255 t=932s
ppo: upd 755 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.441 t=940s
ppo: upd 760 rew/step=-0.0011 pi=-0.006 v=0.003 ent=1.231 t=948s
ppo: upd 765 rew/step=-0.0003 pi=-0.004 v=0.001 ent=1.586 t=953s
ppo: upd 770 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.348 t=961s
ppo: upd 775 rew/step=-0.0011 pi=-0.008 v=0.004 ent=1.516 t=971s
ppo: upd 780 rew/step=-0.0003 pi=-0.006 v=0.000 ent=1.545 t=979s
ppo: upd 785 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.291 t=987s
ppo: upd 790 rew/step=-0.0003 pi=-0.007 v=0.001 ent=1.541 t=996s
ppo: upd 795 rew/step=-0.0003 pi=0.000 v=0.001 ent=1.331 t=1004s
ppo: upd 800 rew/step=-0.0011 pi=-0.006 v=0.003 ent=1.390 t=1013s
